"Sample","Group","BioRep","TechRep","BioRep_full"
"01_MCF10_1_A","Normal","1","A","Normal1"
"02_MCF10_1_B","Normal","1","B","Normal1"
"03_MCF10_2_A","Normal","2","A","Normal2"
"04_MCF10_2_B","Normal","2","B","Normal2"
"05_MCF10_3_A","Normal","3","A","Normal3"
"06_MCF10_3_B","Normal","3","B","Normal3"
"07_MDA_1_A","Tumor","1","A","Tumor1"
"08_MDA_1_B","Tumor","1","B","Tumor1"
"09_MDA_2_A","Tumor","2","A","Tumor2"
"10_MDA_2_B","Tumor","2","B","Tumor2"
"11_MDA_3_A","Tumor","3","A","Tumor3"
"12_MDA_3_B","Tumor","3","B","Tumor3"
